Ville,Information_Qualite_Air,Indice_IQA_PM_25,Indice_IQA_PM_10,Indice_IQA_No2,Indice_IQA_So2,Indice_IQA_Ozone,Temperature (°C),Humidite_AQ,Vent,date
Paris,27,26,24,20.9,0.6,26.6,11.1,75,10.0,2025-04-16
Rennes,25,25,15,10.9,,17.3,11.0,66,2.5,2025-04-16
Nantes,20,20,12,13.0,,17.2,10.0,76,3.0,2025-04-16
Marseille,20,20,10,11.5,0.3,19.4,12.2,94,0.2,2025-04-16
Toulouse,8,8,3,5.5,,22.8,8.0,93,4.1,2025-04-16
Lyon,4,4,,5.7,,,8.0,93,1.5,2025-04-16
Bordeaux,26,34,15,1.0,,26.0,9.0,87,3.6,2025-04-16
Lille,61,61,8,20.6,1.1,15.6,5.0,79.0,0.4,2025-04-16
Nice,30,30,11,14.3,1.1,20.6,15.0,87.0,2.0,2025-04-16
Strasbourg,17,63,17,11.7,,18.0,16.5,74.5,4.6,2025-04-16
Paris,31,31,11,20.9,0.6,27.5,11.6,66.0,9.0,2025-04-16
Rennes,25,25,14,5.8,,24.4,13.0,58.0,4.1,2025-04-16
Nantes,29,18,10,10.5,,28.5,12.5,56.0,4.3,2025-04-16
Marseille,24,18,8,8.3,0.2,23.8,12.7,93.0,1.0,2025-04-16
Toulouse,24,8,3,4.6,,24.1,10.0,93.0,4.1,2025-04-16
Lyon,8,8,,2.7,,,8.0,93.0,3.0,2025-04-16
Bordeaux,26,34,15,1.0,,26.0,9.0,87.0,3.6,2025-04-16
Lille,61,61,8,20.6,1.1,15.6,5.0,79.0,0.4,2025-04-16
Nice,39,18,7,2.1,1.1,39.0,15.0,87.0,1.5,2025-04-16
Strasbourg,20,63,12,10.1,,20.0,12.0,81.0,3.0,2025-04-16
Paris,32,33,18,19.8,0.6,31.7,17.9,58.7,7.2,2025-04-16
Rennes,34,17,14,2.2,,34.4,15.0,44.0,6.1,2025-04-16
Nantes,36,14,8,1.8,,36.4,15.0,41.0,5.1,2025-04-16
Marseille,20,16,7,15.0,0.3,19.9,12.7,91.0,1.0,2025-04-16
Toulouse,31,10,4,3.2,,30.7,11.5,78.5,2.8,2025-04-16
Lyon,10,10,,5.6,,,9.0,87.0,4.1,2025-04-16
Bordeaux,26,34,15,1.0,,26.0,9.0,87.0,3.6,2025-04-16
Lille,61,61,8,20.6,1.1,15.6,5.0,79.0,0.4,2025-04-16
Nice,37,16,6,3.3,1.1,36.6,14.0,93.0,1.5,2025-04-16
Strasbourg,24,63,12,9.3,,23.9,12.0,78.5,4.1,2025-04-16
Paris,34,33,14,18.7,0.6,33.6,17.7,48.5,7.0,2025-04-16
Rennes,35,18,20,1.7,,35.4,15.0,44.0,5.6,2025-04-16
Nantes,37,13,8,0.9,,37.3,15.0,51.0,6.1,2025-04-16
Marseille,21,21,8,18.4,0.3,18.5,12.2,91.0,1.0,2025-04-16
Toulouse,32,10,5,2.5,,32.4,13.0,68.5,2.5,2025-04-16
Lyon,10,10,,5.6,,,9.0,87.0,4.1,2025-04-16
Bordeaux,26,34,15,1.0,,26.0,9.0,87.0,3.6,2025-04-16
Lille,61,61,8,20.6,1.1,15.6,5.0,79.0,0.4,2025-04-16
Nice,24,12,5,6.6,1.1,24.1,12.0,87.0,3.0,2025-04-16
Strasbourg,22,63,11,15.0,,21.7,10.0,93.0,2.8,2025-04-16
Paris,45,45,28,29.5,0.6,29.8,13.3,64.5,9.0,2025-04-16
Rennes,30,13,6,4.6,,30.0,8.0,81.0,3.6,2025-04-16
Nantes,35,14,7,2.8,,35.1,8.0,81.0,2.0,2025-04-16
Marseille,29,13,5,8.2,0.3,29.1,10.0,92.0,0.2,2025-04-16
Toulouse,26,6,4,6.3,,26.4,9.5,78.5,2.3,2025-04-16
Lyon,13,13,,7.6,,,9.0,93.0,1.5,2025-04-16
Bordeaux,33,34,15,1.0,,33.3,9.0,81.0,2.5,2025-04-16
Lille,61,61,8,20.6,1.1,15.6,5.0,79.0,0.4,2025-04-16
Nice,24,12,5,5.0,1.1,24.2,13.0,76.0,4.6,2025-04-16
Strasbourg,23,63,11,9.9,,23.0,10.0,87.0,2.0,2025-04-16
Paris,45,45,28,29.5,0.6,29.8,13.3,64.5,9.0,2025-04-16
Rennes,29,15,7,4.3,,29.1,8.0,81.0,2.5,2025-04-16
Nantes,32,15,7,3.7,,32.3,8.0,87.0,3.0,2025-04-16
Marseille,20,18,7,8.5,0.2,19.5,10.0,93.0,1.0,2025-04-16
Toulouse,10,10,5,6.3,,26.4,9.0,81.0,3.8,2025-04-16
Lyon,15,15,,5.7,,,9.0,93.0,1.5,2025-04-16
Bordeaux,33,34,15,1.0,,33.3,9.0,81.0,2.5,2025-04-16
Lille,61,61,8,20.6,1.1,15.6,5.0,79.0,0.4,2025-04-17
Nice,13,8,4,18.1,1.1,13.0,13.0,87.0,3.0,2025-04-17
Strasbourg,18,63,12,16.6,,18.3,8.0,100.0,3.6,2025-04-17
Paris,60,60,18,31.9,0.6,4.4,9.7,79.0,1.5,2025-04-17
Rennes,26,26,15,10.4,,10.4,6.0,87.0,1.5,2025-04-17
Nantes,16,16,8,11.0,,13.4,7.0,93.0,1.5,2025-04-17
Marseille,21,14,11,10.0,0.2,20.6,8.8,81.0,7.0,2025-04-17
Toulouse,29,14,11,4.4,,28.8,9.0,76.0,6.6,2025-04-17
Lyon,17,17,,4.6,,,8.0,93.0,5.1,2025-04-17
Bordeaux,24,34,15,1.0,,23.6,5.5,96.5,1.8,2025-04-17
Lille,61,61,8,20.6,1.1,15.6,5.0,79.0,0.4,2025-04-17
Nice,14,14,9,24.2,1.1,6.8,13.0,93.0,3.6,2025-04-17
Strasbourg,17,63,12,16.5,,16.9,8.0,100.0,4.1,2025-04-17
Paris,68,68,18,33.9,0.6,0.5,12.2,68.0,2.0,2025-04-17
Rennes,28,28,17,10.1,,16.4,9.0,81.0,1.5,2025-04-17
Nantes,18,16,8,11.0,,18.2,11.0,81.0,2.5,2025-04-17
Marseille,22,14,12,8.5,0.2,21.9,9.4,79.0,8.0,2025-04-17
Toulouse,31,9,4,3.1,,31.2,10.0,76.0,8.2,2025-04-17
Lyon,15,15,,4.6,,,8.0,93.0,5.1,2025-04-17
Bordeaux,24,34,15,1.0,,23.6,5.5,96.5,1.8,2025-04-17
Lille,61,61,8,20.6,1.1,15.6,5.0,79.0,0.4,2025-04-17
Nice,26,8,5,9.3,1.1,26.3,14.0,87.0,8.7,2025-04-17
Strasbourg,16,63,12,15.7,,16.1,8.5,96.5,4.8,2025-04-17
Paris,95,95,26,33.9,0.6,1.6,13.0,59.5,8.0,2025-04-17
Rennes,26,21,12,5.7,,26.0,11.0,76.0,2.0,2025-04-17
Nantes,28,13,8,4.9,,27.7,12.5,68.5,2.5,2025-04-17
Marseille,24,13,13,7.1,0.2,24.3,10.0,73.0,14.0,2025-04-17
Toulouse,34,13,11,2.3,,34.2,11.0,71.0,8.2,2025-04-17
Lyon,15,15,,4.6,,,8.0,87.0,5.6,2025-04-17
Bordeaux,24,34,15,1.0,,23.6,5.5,96.5,1.8,2025-04-17
Lille,61,61,8,20.6,1.1,15.6,5.0,79.0,0.4,2025-04-17
Nice,35,8,5,4.7,1.1,34.6,15.0,87.0,5.9,2025-04-17
Strasbourg,18,63,9,13.4,,17.5,9.0,93.0,4.8,2025-04-17
Paris,53,53,39,26.1,0.6,13.5,15.1,38.6,3.0,2025-04-17
Rennes,33,15,17,2.3,,32.9,14.0,54.0,3.6,2025-04-17
Nantes,38,8,6,1.7,,38.3,14.0,62.0,3.6,2025-04-17
Marseille,31,11,9,4.0,0.1,30.8,10.0,72.0,7.0,2025-04-17
Toulouse,13,13,9,1.9,,35.9,13.0,58.0,7.2,2025-04-17
Lyon,11,11,,4.6,,,8.0,81.0,7.9,2025-04-17
Bordeaux,24,34,15,1.0,,23.6,5.5,96.5,1.8,2025-04-17
Lille,61,61,8,20.6,1.1,15.6,5.0,79.0,0.4,2025-04-17
Nice,37,10,6,5.1,1.1,36.5,15.0,82.0,3.0,2025-04-17
Strasbourg,19,63,9,14.5,,18.6,9.0,93.0,3.8,2025-04-17
Paris,56,56,39,25.8,0.6,25.1,18.6,47.5,8.0,2025-04-17
Rennes,33,14,15,1.4,,32.5,14.0,54.0,2.5,2025-04-17
Nantes,40,6,4,1.5,,40.1,14.0,62.0,3.0,2025-04-17
Marseille,30,10,9,4.2,0.1,30.1,10.0,75.0,7.0,2025-04-17
Toulouse,37,13,9,2.5,,36.6,14.0,60.0,5.1,2025-04-17
Lyon,10,10,,4.6,,,8.0,87.0,6.9,2025-04-17
Bordeaux,24,34,15,1.0,,23.6,5.5,96.5,1.8,2025-04-17
Lille,61,61,8,20.6,1.1,15.6,5.0,79.0,0.4,2025-04-17
Nice,34,10,5,7.3,1.1,33.5,14.0,87.0,2.5,2025-04-17
Strasbourg,18,63,5,15.3,,17.9,10.0,93.0,4.1,2025-04-17
Paris,49,49,30,22.4,0.6,32.0,18.3,44.0,7.0,2025-04-17
Rennes,35,11,10,2.5,,34.6,15.0,54.0,2.5,2025-04-17
Nantes,39,7,6,1.1,,39.0,14.0,54.0,4.6,2025-04-17
Marseille,29,9,8,4.5,0.1,29.2,11.1,68.0,6.0,2025-04-17
Toulouse,37,11,6,2.0,,37.0,13.5,60.0,6.6,2025-04-17
Lyon,10,10,,4.6,,,9.0,87.0,3.6,2025-04-17
Bordeaux,24,34,15,1.0,,23.6,5.5,96.5,1.8,2025-04-17
Lille,61,61,8,20.6,1.1,15.6,5.0,79.0,0.4,2025-04-17
Nice,34,7,4,4.9,1.1,33.9,14.0,87.0,4.6,2025-04-17
Strasbourg,17,63,10,16.2,,17.2,10.0,87.0,4.1,2025-04-17
Paris,49,49,30,22.4,0.6,32.0,18.3,44.0,7.0,2025-04-17
Rennes,37,11,9,2.2,,37.0,15.0,54.0,4.1,2025-04-17
Nantes,39,7,6,1.6,,38.5,15.0,51.0,5.1,2025-04-17
Marseille,31,8,6,3.5,0.1,31.1,11.6,65.0,6.0,2025-04-17
Toulouse,37,11,6,1.7,,37.2,14.5,54.0,7.7,2025-04-17
Lyon,14,14,,4.6,,,9.0,87.0,3.0,2025-04-17
Bordeaux,39,34,15,1.0,,38.6,16.0,51.5,5.9,2025-04-17
Lille,61,61,8,20.6,1.1,15.6,5.0,79,0.4,2025-04-17
Nice,31,7,4,4.9,1.1,30.5,14.0,87,1.5,2025-04-17
Strasbourg,15,63,13,14.4,,15.4,9.5,90,4.3,2025-04-17
Paris,33,67,14,26.1,0.6,32.9,22.2,44,7.0,2025-04-17
Rennes,38,11,8,2.5,,37.9,14.0,54,3.6,2025-04-17
Nantes,39,7,6,1.6,,38.5,15.0,51,5.1,2025-04-17
Marseille,31,8,6,3.5,0.1,31.1,12.7,60,10.0,2025-04-17
Toulouse,37,11,6,1.7,,37.2,14.5,54,7.7,2025-04-17
Lyon,14,14,,4.6,,,9.0,87,3.0,2025-04-17
Bordeaux,39,34,15,1.0,,39.0,16.5,40,6.4,2025-04-17
Lille,61,61,8,20.6,1.1,15.6,5.0,79.0,0.4,2025-04-17
Nice,30,7,4,5.7,1.1,29.8,15.0,82.0,2.5,2025-04-17
Strasbourg,16,63,10,16.9,,15.6,9.0,93.0,5.4,2025-04-17
Paris,66,66,14,26.1,0.6,32.9,17.7,37.0,4.4,2025-04-17
Rennes,38,8,5,3.2,,38.0,14.0,50.0,2.5,2025-04-17
Nantes,41,8,6,1.0,,41.4,14.5,52.5,4.3,2025-04-17
Marseille,32,8,8,3.7,0.1,32.3,13.3,61.0,7.0,2025-04-17
Toulouse,36,8,5,1.8,,35.9,14.0,58.0,6.6,2025-04-17
Lyon,12,12,,5.7,,,9.0,87.0,2.5,2025-04-17
Bordeaux,39,34,15,1.0,,39.4,15.5,45.5,5.6,2025-04-17
Lille,61,61,8,20.6,1.1,15.6,5.0,79.0,0.4,2025-04-17
Nice,28,8,4,7.8,1.1,27.5,15.0,76.0,2.5,2025-04-17
Strasbourg,16,63,9,15.2,,16.2,9.0,90.0,3.8,2025-04-17
Paris,65,65,32,24.5,0.6,33.6,27.2,41.0,6.0,2025-04-17
Rennes,36,10,10,2.7,,36.0,14.0,58.0,3.0,2025-04-17
Nantes,41,9,6,1.4,,40.6,14.0,54.0,4.6,2025-04-17
Marseille,33,8,8,3.6,0.1,32.7,12.2,62.0,7.0,2025-04-17
Toulouse,8,8,4,1.9,,35.7,11.5,78.5,5.9,2025-04-17
Lyon,14,14,,6.4,,,9.0,84.0,2.5,2025-04-17
Bordeaux,39,34,15,1.0,,39.4,15.5,45.5,5.6,2025-04-17
Lille,61,61,8,20.6,1.1,15.6,5.0,79.0,0.4,2025-04-17
Nice,30,7,4,6.1,1.1,29.7,15.0,76.0,2.5,2025-04-17
Strasbourg,15,63,15,17.0,,15.2,8.5,90.0,3.0,2025-04-17
Paris,61,61,22,21.4,0.6,33.6,23.6,42.5,6.0,2025-04-17
Rennes,37,13,11,3.3,,37.0,13.0,58.0,2.5,2025-04-17
Nantes,41,8,5,1.3,,40.5,13.0,58.0,4.1,2025-04-17
Marseille,32,8,6,3.8,0.1,32.4,10.5,65.0,10.0,2025-04-17
Toulouse,36,8,4,2.0,,36.4,12.0,76.0,4.6,2025-04-17
Lyon,14,14,,6.4,,,9.0,84.0,2.5,2025-04-17
Bordeaux,38,34,15,1.0,,38.2,15.5,42.5,4.6,2025-04-17
Lille,61,61,8,20.6,1.1,15.6,5.0,79.0,0.4,2025-04-17
Nice,24,9,4,11.0,1.1,24.3,14.0,87.0,5.1,2025-04-17
Strasbourg,17,63,17,17.3,,15.4,8.0,93.0,2.0,2025-04-17
Paris,34,65,22,28.0,0.6,33.6,13.3,48.5,5.6,2025-04-17
Rennes,37,15,9,3.3,,36.7,12.0,66.0,2.0,2025-04-17
Nantes,41,9,5,1.5,,40.8,11.0,66.0,1.5,2025-04-17
Marseille,32,7,4,3.9,0.1,32.3,9.4,69.0,5.0,2025-04-17
Toulouse,8,8,4,3.9,,33.8,11.0,73.5,1.5,2025-04-17
Lyon,16,16,,6.4,,,8.0,87.0,2.5,2025-04-17
Bordeaux,38,34,15,1.0,,38.2,15.5,42.5,4.6,2025-04-17
Lille,61,61,8,20.6,1.1,15.6,5.0,79.0,0.4,2025-04-18
Nice,16,16,10,14.5,,2.4,12.5,84.5,3.0,2025-04-18
Strasbourg,20,63,15,10.6,,19.9,7.0,87.0,2.5,2025-04-18
Paris,45,45,13,33.0,0.6,22.3,10.0,79.0,8.0,2025-04-18
Rennes,22,15,6,5.9,,21.9,9.0,93.0,5.6,2025-04-18
Nantes,28,14,6,3.6,,27.6,10.0,87.0,4.6,2025-04-18
Marseille,22,15,7,9.7,0.3,22.3,7.2,90.0,3.0,2025-04-18
Toulouse,22,22,7,12.6,,7.0,9.0,81.0,4.1,2025-04-18
Lyon,18,18,,13.9,,,6.5,96.5,1.0,2025-04-18
Bordeaux,20,34,15,1.0,,19.9,8.5,81.0,4.1,2025-04-18
Lille,61,61,8,20.6,1.1,15.6,5.0,79.0,0.4,2025-04-18
Nice,16,16,10,14.5,,2.4,12.5,84.5,3.0,2025-04-18
Strasbourg,20,63,11,10.6,,19.9,7.0,87.0,3.0,2025-04-18
Paris,45,45,13,33.0,0.6,22.3,10.0,79.0,8.0,2025-04-18
Rennes,22,15,6,5.9,,21.9,9.0,93.0,5.6,2025-04-18
Nantes,28,14,6,3.6,,27.6,10.0,87.0,4.6,2025-04-18
Marseille,22,15,7,9.7,0.3,22.3,7.2,90.0,3.0,2025-04-18
Toulouse,22,22,7,12.6,,7.0,9.0,81.0,4.1,2025-04-18
Lyon,18,18,,13.9,,,6.5,96.5,1.0,2025-04-18
Bordeaux,20,34,15,1.0,,19.9,8.5,81.0,4.1,2025-04-18
Lille,61,61,8,20.6,1.1,15.6,5.0,79.0,0.4,2025-04-18
Nice,16,16,10,14.5,,2.4,12.5,84.5,3.0,2025-04-18
Strasbourg,20,63,11,10.6,,19.9,7.0,87.0,3.0,2025-04-18
Paris,45,45,13,33.0,0.6,22.3,10.0,79.0,8.0,2025-04-18
Rennes,22,15,6,5.9,,21.9,9.0,93.0,5.6,2025-04-18
Nantes,28,14,6,3.6,,27.6,10.0,87.0,4.6,2025-04-18
Marseille,22,15,7,9.7,0.3,22.3,7.2,90.0,3.0,2025-04-18
Toulouse,19,19,7,11.9,,8.9,10.0,78.5,3.6,2025-04-18
Lyon,18,18,,13.9,,,6.5,96.5,1.0,2025-04-18
Bordeaux,20,34,15,1.0,,19.9,8.5,81.0,4.1,2025-04-18
